,sub-003629_ses-003863_sub-003629_ses-003863_acq-fse_run-801_bp-prostate_vp-ax_T2w.nii.gz,sub-003629_ses-003863_sub-003629_ses-003863_acq-fse_run-601_bp-prostate_vp-ax_T2w.nii.gz,sub-003629_ses-003863_sub-003629_ses-003863_acq-fse_run-301_bp-prostate_vp-sag_T2w.nii.gz,sub-003629_ses-003863_sub-003629_ses-003863_acq-fse_run-501_bp-prostate_vp-cor_T2w.nii.gz,sub-005730_ses-006206_sub-005730_ses-006206_acq-propeller_run-7_bp-prostate_vp-cor_T2w.nii.gz,sub-005730_ses-006206_sub-005730_ses-006206_acq-fse_run-6_bp-prostate_vp-ax_T2w.nii.gz,sub-005730_ses-006206_sub-005730_ses-006206_acq-fse_run-9_bp-prostate_vp-ax_T2w.nii.gz,sub-005730_ses-006206_sub-005730_ses-006206_acq-fse_run-4_bp-prostate_vp-sag_T2w.nii.gz,sub-007667_ses-008463_sub-007667_ses-008463_acq-fse_run-1001_bp-prostate_vp-ax_T2w.nii.gz,sub-007667_ses-008463_sub-007667_ses-008463_acq-fse_run-501_bp-prostate_vp-sag_T2w.nii.gz
label1_diagnostics_Mask-interpolated_BoundingBox,"(6, 6, 6, 245, 298, 18)","(0, 0, 0, 360, 360, 28)","(1, 1, 1, 360, 360, 25)","(0, 0, 0, 360, 360, 20)","(1, 1, 1, 480, 480, 32)","(6, 6, 0, 454, 422, 35)","(6, 5, 0, 455, 431, 35)","(6, 2, 0, 418, 436, 25)","(6, 6, 6, 176, 313, 23)","(1, 1, 1, 360, 360, 25)"
label1_diagnostics_Mask-interpolated_CenterOfMass,"(24.15000794717416, -16.540612722142356, 127.7319629235995)","(25.614576824148862, -25.624388153290454, 121.05200685985153)","(25.255834579467773, -0.9755477905273438, 122.16520690917969)","(24.62428710050864, -21.02428780348656, 125.34795266113265)","(-1.4487366109913182, 11.810434706261054, 2.1108934353233053)","(-2.58241846495676, 22.191767245344508, -13.059364040073433)","(-2.3289286727951577, 20.447249370376966, -12.928753272662718)","(-2.2263558730273516, 18.162446454167366, -5.03923832784821)","(1.3882103124054197, 2.646535800448376, 10.019175064034119)","(-1.032584653508728, 18.1427001953125, -23.92943792539846)"
label1_diagnostics_Mask-interpolated_CenterOfMassIndex,"(127.50344914304077, 133.56450858007076, 14.500076841667743)","(179.5, 170.1769911504425, 13.5)","(180.5, 180.5, 13.0)","(179.5, 177.72033898305085, 9.5)","(240.5, 240.5, 16.5)","(232.5, 216.5, 17.0)","(233.0, 220.0, 17.0)","(214.5, 219.5, 12.0)","(93.15578779053166, 160.118881193046, 17.000662440751526)","(180.5, 180.5, 13.0)"
label1_diagnostics_Mask-interpolated_Maximum,9.628130174069554,3.9559851504465655,3.809775952244248,4.594614872875006,4.774580490770141,3.5696552094655996,3.0984776186005485,4.982764907199872,5.449450833036077,4.957961819528826
label1_diagnostics_Mask-interpolated_Mean,0.7646297185641557,-0.06416735300134943,0.11614797795347291,0.010937272808351495,0.10964199390489864,0.21269997870417637,0.2146056067885392,0.07709720454442257,0.82923009426246,0.1437856977876223
label1_diagnostics_Mask-interpolated_Minimum,-1.2942451006463165,-1.6660996576292018,-1.4025287216429407,-1.6056281416994973,-1.8506748692031287,-1.4976641900689174,-1.5825136900401195,-2.2216317459025654,-0.9696467345110759,-1.743305765537979
label1_diagnostics_Mask-interpolated_Size,"(257, 304, 25)","(360, 360, 28)","(362, 362, 27)","(360, 360, 20)","(482, 482, 35)","(466, 434, 35)","(468, 442, 36)","(430, 441, 26)","(188, 325, 29)","(362, 362, 27)"
label1_diagnostics_Mask-interpolated_Spacing,"(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)","(0.5, 0.5, 3.0)"
label1_diagnostics_Mask-interpolated_VolumeNum,67,2,1,2,1,1,1,1,2,1
label1_diagnostics_Mask-interpolated_VoxelNum,572606,3417120,3240000,2548800,7372800,6705580,6863675,4556200,1225770,3240000
label1_diagnostics_Mask-original_BoundingBox,"(87, 83, 5, 326, 397, 17)","(0, 0, 0, 640, 640, 25)","(1, 1, 1, 640, 640, 25)","(0, 0, 0, 640, 640, 24)","(1, 1, 1, 512, 512, 24)","(14, 35, 0, 484, 450, 30)","(27, 54, 0, 972, 919, 30)","(19, 2, 0, 486, 508, 25)","(128, 20, 10, 234, 417, 20)","(1, 1, 1, 640, 640, 25)"
label1_diagnostics_Mask-original_CenterOfMass,"(24.039366303190093, -16.218464048766236, 127.26362847292278)","(25.622005782466346, -25.760903896709237, 120.3083033320301)","(25.255834579467773, -1.1942977905273438, 122.38395690917969)","(24.624287503890272, -21.024296430843663, 125.29294358190752)","(-1.4617414393837151, 12.792285005431083, 1.9179048178137634)","(-2.569411704374332, 22.080073594685672, -13.051050031961402)","(-2.3319819268058524, 20.561303322395943, -12.937189873161763)","(-2.2265740246105636, 18.243843093514442, -5.042466059395522)","(1.4437036715085156, 2.619030346639974, 10.530688400456704)","(-1.0290010073945481, 17.9239501953125, -23.71071728169848)"
label1_diagnostics_Mask-original_CenterOfMassIndex,"(248.6150234741784, 253.86466165413535, 13.0)","(319.5, 302.5830564784053, 12.0)","(320.5, 320.5, 13.0)","(319.5, 316.531746031746, 11.5)","(256.5, 256.5, 12.5)","(255.5, 259.5, 14.5)","(512.5, 513.0, 14.5)","(261.5, 255.5, 12.0)","(244.5, 225.32920792079207, 19.5)","(320.5, 320.5, 13.0)"
label1_diagnostics_Mask-original_Hash,3bea0fd04a3f7d277b2530bf04465c0f6470151e,a8f325dc5862563de20c9e08d5be1242ce3cd555,c5ca3dd04e5102612c24201cfee50b78588a2cbb,05f274497b20d79e97775633de290cc0de1951a9,581f48e62c71e801063afc1a3e3abd54f4c031f8,75ac270262e07d45839697079935424051f660d3,ba04b57db922ae06a64f0fce0ac9954db582c4e3,4acf7526ba0375077d398b58cbf909f1216e1c35,d52e19751eae85d5188bab62a64469cf244f2dd2,c5ca3dd04e5102612c24201cfee50b78588a2cbb
label1_diagnostics_Mask-original_Size,"(480, 480, 22)","(640, 640, 25)","(642, 642, 27)","(640, 640, 24)","(514, 514, 26)","(512, 512, 30)","(1024, 1024, 30)","(512, 512, 25)","(480, 480, 30)","(642, 642, 27)"
label1_diagnostics_Mask-original_Spacing,"(0.375, 0.375, 3.3000001907348633)","(0.28125, 0.28125, 3.3000001907348633)","(0.28125, 0.28125, 3.0)","(0.28125, 0.28125, 2.5)","(0.4687500298023224, 0.4687500298023224, 3.9999804496765137)","(0.4687999188899994, 0.468799889087677, 3.499998092651367)","(0.2343999594449997, 0.2343999445438385, 3.5000011920928955)","(0.42969998717308044, 0.4297001361846924, 3.0000030994415283)","(0.375, 0.375, 3.3999998569488525)","(0.28125, 0.28125, 3.0)"
label1_diagnostics_Mask-original_VolumeNum,36,2,1,2,1,1,1,1,2,1
label1_diagnostics_Mask-original_VoxelNum,963186,9632000,10240000,9676800,6291456,6534000,26798040,6172200,1890720,10240000
label1_diagnostics_Versions_Numpy,1.26.3,1.26.3,1.26.3,1.26.3,1.26.3,1.26.3,1.26.3,1.26.3,1.26.3,1.26.3
label1_diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
label1_diagnostics_Versions_PyWavelet,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0
label1_diagnostics_Versions_Python,3.10.13,3.10.13,3.10.13,3.10.13,3.10.13,3.10.13,3.10.13,3.10.13,3.10.13,3.10.13
label1_diagnostics_Versions_SimpleITK,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1
label1_original_firstorder_10Percentile,-0.4469958148747759,-1.2235446105537156,-1.2179550294670691,-1.0289488836480247,-0.9885295934667538,-0.9183654473898767,-0.8071188455952955,-1.2946007745844712,-0.4910754302374386,-1.2207021161039635
label1_original_firstorder_90Percentile,3.083486823478066,1.2765896315058614,1.2201675208791547,1.463785165137932,1.4699607016886571,1.4785170185294991,1.4782270126971504,1.202482112581334,3.5277665353857377,1.1689419745900096
label1_original_firstorder_Energy,2470696.3960242462,3319047.394687063,2971577.338358911,2535973.1166957407,6767494.251008003,6189403.426771105,5847120.32054655,4196176.110192708,3715180.477669781,2679985.6907952237
label1_original_firstorder_Entropy,0.98591882212851,0.995010960417374,0.9847105459790144,0.9893583013603277,0.9999535987767563,0.9966139368408151,0.9988452667890878,0.986509847792695,0.999889134540374,0.9727615071617048
label1_original_firstorder_InterquartileRange,1.3791498275928546,1.9008927223612675,1.778960558233179,1.9508860143487405,1.7031154776151332,1.8011112510102139,1.5289460942070439,1.6376484384197312,2.214223646152993,1.5272689185530672
label1_original_firstorder_Kurtosis,6.992809707285237,1.6610034462840668,1.6885300144369275,1.7122706998711048,1.9872969129731952,1.5928647501273476,1.9155522083388523,1.9930837903896759,2.373215335017116,1.9344542693783913
label1_original_firstorder_Maximum,9.628130174069554,3.9559851504465655,3.809775952244248,4.594614872875006,4.774580490770141,3.5696552094655996,3.0984776186005485,4.982764907199872,5.449450833036077,4.957961819528826
label1_original_firstorder_Mean,0.7646297185641557,-0.06416735300134943,0.11614797795347291,0.010937272808351495,0.10964199390489864,0.21269997870417637,0.2146056067885392,0.07709720454442257,0.82923009426246,0.1437856977876223
label1_original_firstorder_MeanAbsoluteDeviation,1.35894953116677,0.8870761937974297,0.853118376966162,0.8976657829977863,0.8322016893877646,0.8447525951488539,0.7884702516438492,0.8255251488058885,1.3071818097934909,0.7855698032546814
label1_original_firstorder_Median,-0.12226157228882908,-0.20517601313399,0.3906818641844554,-0.2912612333514767,-0.015608540174530481,0.16078010891334066,-0.06574192148781179,0.23181415175977282,0.025368965360795873,0.4029104333862822
label1_original_firstorder_Minimum,-1.2942451006463165,-1.6660996576292018,-1.4025287216429407,-1.6056281416994973,-1.8506748692031287,-1.4976641900689174,-1.5825136900401195,-2.2216317459025654,-0.9696467345110759,-1.743305765537979
label1_original_firstorder_Range,10.92237527471587,5.622084808075767,5.212304673887189,6.200243014574504,6.62525535997327,5.067319399534517,4.680991308640668,7.204396653102437,6.419097567547153,6.701267585066805
label1_original_firstorder_RobustMeanAbsoluteDeviation,0.6785077820454023,0.7530597510108421,0.7166387528783005,0.76613127343457,0.6773064989980964,0.7158413197285161,0.6272464780361466,0.6533273138465825,1.0234268347454194,0.6288266455965479
label1_original_firstorder_RootMeanSquared,2.07721640422203,0.9855453469446311,0.9576813141611833,0.9974805669488385,0.9580710586395866,0.9607407713625805,0.9229807849682946,0.9596778333757016,1.7409466550626251,0.909481213333147
label1_original_firstorder_Skewness,2.177652391828259,0.26098255786257957,-0.14977322102957316,0.454110641511228,0.392120342310048,0.15595462500438118,0.23892224688798036,-0.2599815768600734,0.9339748593466736,-0.33419225314735085
label1_original_firstorder_TotalEnergy,1853022.2970181848,2489285.546015297,2228683.0037691835,1901979.8375218054,5075620.688256002,4642052.570078329,4385340.240409913,3147132.0826445306,2786385.358252336,2009989.2680964177
label1_original_firstorder_Uniformity,0.5097285325015175,0.5034541506374723,0.5105603506241426,0.5073581090718713,0.5000321625322471,0.5023452033574374,0.5008001864998847,0.5093214794739962,0.5000768441123007,0.5187611602699664
label1_original_firstorder_Variance,3.7301693834575977,0.9671821816930152,0.9036631467108095,0.9948478575040904,0.9058787865753368,0.8777815488176094,0.8058379629556143,0.9150375649241163,2.3432727065432153,0.806481750517659
label1_original_glcm_Autocorrelation,2.2661768001756126,2.327717383910042,2.672491235650848,2.261649650916472,2.431206859300118,2.5596230630689827,2.389647169543881,2.6426309715400964,2.4962929978142436,2.732346421314318
label1_original_glcm_ClusterProminence,0.8941558942946509,0.9184944391351512,0.9294907761695147,0.9048960037148857,0.877578573471485,0.9092666797767618,0.8973308600653611,0.886754601479897,0.9189113887904821,0.9150986065636754
label1_original_glcm_ClusterShade,0.18498601675701914,0.14425708554262265,-0.24549317530343295,0.19705325582902633,0.00848535921299726,-0.12265659304251274,0.06505357816719662,-0.217763411195262,-0.04318813785131589,-0.30361974692507654
label1_original_glcm_ClusterTendency,0.8643856683812643,0.9012127306498392,0.8782277798901709,0.8716640217189244,0.877508188382845,0.8967312186043584,0.8937927740820478,0.8450153629411982,0.9173383656315981,0.8326869134647559
label1_original_glcm_Contrast,0.12224775281681396,0.09167817338146006,0.09979058639528332,0.11369248812400573,0.1224633426426224,0.09802145537526799,0.10471169568977653,0.13532755508598254,0.08201924682227417,0.1282467339002463
label1_original_glcm_Correlation,0.7522004412942853,0.8153364904460645,0.7959084716706512,0.7692132387571309,0.7550683084998799,0.8029102655844729,0.7902622084288313,0.7238792277983468,0.835843835753531,0.7330257516897601
label1_original_glcm_DifferenceAverage,0.12224775281681396,0.09167817338146006,0.09979058639528332,0.11369248812400573,0.1224633426426224,0.09802145537526799,0.10471169568977653,0.13532755508598254,0.08201924682227417,0.1282467339002463
label1_original_glcm_DifferenceEntropy,0.5250940152616376,0.4316110911322441,0.4518508219244191,0.49301694365171833,0.5176246143089751,0.4531181772359504,0.47455477509366095,0.5513800419052673,0.4001206190438429,0.5336178648525093
label1_original_glcm_DifferenceVariance,0.10587917779448261,0.0822235458943941,0.08809827759726369,0.0986277776122795,0.10506866628161064,0.08737450553171747,0.09268152645428421,0.11414909070979219,0.074458448279644,0.10926839519475802
label1_original_glcm_Id,0.938876123591593,0.9541609133092701,0.9501047068023583,0.9431537559379972,0.9387683286786888,0.9509892723123661,0.9476441521551119,0.9323362224570086,0.9589903765888631,0.9358766330498768
label1_original_glcm_Idm,0.938876123591593,0.9541609133092701,0.9501047068023583,0.9431537559379972,0.9387683286786888,0.9509892723123661,0.9476441521551119,0.9323362224570086,0.9589903765888631,0.9358766330498768
label1_original_glcm_Idmn,0.9755504494366373,0.981664365323708,0.9800418827209433,0.9772615023751988,0.9755073314714756,0.9803957089249464,0.9790576608620447,0.9729344889828035,0.9835961506355453,0.9743506532199508
label1_original_glcm_Idn,0.9592507490610619,0.9694406088728467,0.9667364712015721,0.9621025039586648,0.9591788857857926,0.9673261815415771,0.9650961014367412,0.9548908149713393,0.9726602510592419,0.957251088699918
label1_original_glcm_Imc1,-0.4711754687973148,-0.56669569325795,-0.5426671287296846,-0.5031027671047382,-0.4823690945136271,-0.5455675897924426,-0.5250600071213704,-0.44297793325436763,-0.5997241927824972,-0.4552455652870089
label1_original_glcm_Imc2,0.7705431952484099,0.816127705876843,0.7995670189937495,0.7811779696991688,0.7726142815194016,0.8080589796444746,0.799896323771262,0.7457363205231891,0.8308675628324876,0.7504021070951699
label1_original_glcm_InverseVariance,0.12224775281681396,0.09167817338146006,0.09979058639528332,0.11369248812400573,0.1224633426426224,0.09802145537526799,0.10471169568977653,0.13532755508598254,0.08201924682227417,0.1282467339002463
label1_original_glcm_JointAverage,1.44243355886134,1.4578521568669243,1.5741288429494964,1.4394986316594918,1.497479510207143,1.5362112635855387,1.4806676724629229,1.5700982496943625,1.512434207075127,1.5988232627548133
label1_original_glcm_JointEnergy,0.4008041116064783,0.4213310020899562,0.42289253926000925,0.40869396746625536,0.3949455682056557,0.41524915747846924,0.4080662386598035,0.39567945027661733,0.4258627454934199,0.41026478112274095
label1_original_glcm_JointEntropy,1.5140604835701532,1.425952592427384,1.434108475983747,1.4810200041219583,1.517602024576176,1.4489064663377675,1.4733475531644233,1.53482958663362,1.3996101723296646,1.5008771600208195
label1_original_glcm_MCC,0.7522004412942856,0.8153364904460647,0.7959084716706513,0.7692132387571313,0.7550683084998802,0.8029102655844732,0.7902622084288317,0.7238792277983472,0.8358438357535316,0.7330257516897603
label1_original_glcm_MaximumProbability,0.49644256473025306,0.49630875644234584,0.5242335497518549,0.5036551242785055,0.4412888184715457,0.48720053589790474,0.46697647969218886,0.5024344721513713,0.4714245836639898,0.5346998958046905
label1_original_glcm_SumAverage,2.88486711772268,2.9157043137338485,3.148257685898993,2.8789972633189835,2.994959020414286,3.0724225271710774,2.9613353449258457,3.140196499388725,3.024868414150254,3.1976465255096267
label1_original_glcm_SumEntropy,1.3918127307533399,1.3342744190459246,1.334317889588464,1.3673275159979523,1.3951386819335538,1.3508850109625001,1.3686358574746473,1.3995020315476379,1.3175909255073905,1.3726304261205737
label1_original_glcm_SumSquares,0.24665835529951957,0.24822272600782483,0.2445045915713635,0.24633912746073253,0.24999288275636686,0.24868816849490666,0.2496261174429561,0.24508572950679516,0.2498394031134681,0.24023341184125055
label1_original_gldm_DependenceEntropy,4.183198136758008,3.3845211661313757,3.3713457889902974,3.6470484674761154,3.7344087421286494,3.496581660206455,3.6473372227618457,3.893535534525942,3.314741063043439,3.76071849296061
label1_original_gldm_DependenceNonUniformity,128946.94528873256,1348430.6071235426,1278931.579878395,851591.2007807596,2352882.2067209203,2547424.4458042406,2395318.0126190414,1276583.0914345288,501280.6372206858,997514.5990938272
label1_original_gldm_DependenceNonUniformityNormalized,0.22519314378251812,0.3946102586750078,0.3947319690982701,0.334114564022583,0.3191300736112359,0.37989621267723905,0.3489847658315759,0.2801859205992996,0.4089516281363435,0.3078748762635269
label1_original_gldm_DependenceVariance,36.55076183200195,22.778473625184294,26.26099607930346,28.668898957174534,26.555934594979696,22.977418612731924,24.601046539896146,29.23956211252206,23.11720887168375,30.328642221489105
label1_original_gldm_GrayLevelNonUniformity,291873.61608156393,1720363.2472263193,1654215.5360222221,1293154.3484023854,3686637.1279177517,3368515.9487295654,3437329.7200745954,2320570.5247794213,612979.1932075348,1680786.1592746913
label1_original_gldm_GrayLevelVariance,0.24513573374924125,0.24827292468126388,0.24471982468792866,0.24632094546406438,0.24998391873387643,0.24882739832128126,0.24959990675005772,0.2453392602630019,0.24996157794384963,0.24061941986501678
label1_original_gldm_HighGrayLevelEmphasis,2.290767124340297,2.375325712881023,2.7179944444444444,2.3180343691148777,2.4879695638020833,2.6027298160636367,2.439993006661883,2.704808831921338,2.518595658239311,2.790560185185185
label1_original_gldm_LargeDependenceEmphasis,518.792073432692,594.3609331834996,587.4515345679013,564.3026804770873,568.330706922743,595.4138887314743,588.9802709190047,549.6883073613976,597.1421555430464,558.2677104938272
label1_original_gldm_LargeDependenceHighGrayLevelEmphasis,1205.2586438144203,1398.0883325724587,1621.883901234568,1287.5134549591965,1414.9653675672744,1566.5825275367679,1434.9241747314668,1519.2084184188577,1528.1008892369694,1601.5159817901235
label1_original_gldm_LargeDependenceLowGrayLevelEmphasis,347.17543083725985,393.4290833362598,328.8434429012346,383.49998685655993,356.6720417616102,352.621729030151,377.49429496588925,307.3082795970326,364.4024721195657,297.4556426697531
label1_original_gldm_LowGrayLevelEmphasis,0.6773082189149258,0.6561685717797443,0.5705013888888889,0.6704914077212806,0.6280076090494792,0.5993175459840908,0.6400017483345293,0.5737977920196655,0.6203510854401723,0.5523599537037037
